Year,Month,AO
1971,12,0.82387
1972,1,0.1665
1972,2,-0.19542
1972,3,-0.14068
1972,4,1.0074
1972,5,0.14023
1972,6,-0.049071
1972,7,-0.55291
1972,8,-0.082042
1972,9,-0.91956
1972,10,0.39177
1972,11,-0.38032
1972,12,1.2375
1973,1,1.2318
1973,2,0.78621
1973,3,0.53717
1973,4,-1.1257
1973,5,0.073456
1973,6,0.53116
1973,7,0.27047
1973,8,0.31251
1973,9,0.11416
1973,10,0.3371
1973,11,0.0022447
1973,12,-0.18148
1974,1,0.23216
1974,2,-0.48927
1974,3,-0.74628
1974,4,0.30882
1974,5,-0.50704
1974,6,-0.04751
1974,7,0.38996
1974,8,-0.53337
1974,9,-0.13579
1974,10,-1.0239
1974,11,-0.43475
1974,12,0.55645
1975,1,1.5945
1975,2,0.19446
1975,3,0.1512
1975,4,0.40878
1975,5,-0.61433
1975,6,-0.32323
1975,7,0.34529
1975,8,0.13004
1975,9,1.2783
1975,10,0.13771
1975,11,0.6187
1975,12,1.2898
1976,1,0.034333
1976,2,1.6563
1976,3,0.58709
1976,4,0.43968
1976,5,0.059626
1976,6,0.328
1976,7,-0.32529
1976,8,0.55859
1976,9,-0.74252
1976,10,-0.80412
1976,11,-0.087349
1976,12,-2.0743
1977,1,-3.7671
1977,2,-2.0105
1977,3,0.34446
1977,4,1.3285
1977,5,0.10432
1977,6,-0.22616
1977,7,-0.49173
1977,8,-1.4122
1977,9,0.58648
1977,10,-0.009178
1977,11,0.60528
1977,12,-0.23965
1978,1,-0.34696
1978,2,-3.0136
1978,3,0.50191
1978,4,-0.96708
1978,5,0.059049
1978,6,0.63464
1978,7,-0.60399
1978,8,-0.35366
1978,9,-0.098999
1978,10,0.8946
1978,11,2.4695
1978,12,-0.98014
1979,1,-2.2328
1979,2,-0.69671
1979,3,-0.81414
1979,4,-1.1568
1979,5,-0.25009
1979,6,0.93316
1979,7,0.038511
1979,8,-0.68413
1979,9,-0.045949
1979,10,-1.2434
1979,11,0.47508
1979,12,1.2948
1980,1,-2.0657
1980,2,-0.93372
1980,3,-1.4333
1980,4,-0.41913
1980,5,-1.1548
1980,6,0.72149
1980,7,-0.62221
1980,8,-0.18519
1980,9,0.31262
1980,10,-0.52121
1980,11,-1.361
1980,12,-0.0573
1981,1,-0.11634
1981,2,-0.33158
1981,3,-1.6447
1981,4,0.43041
1981,5,0.17956
1981,6,-0.43793
1981,7,0.56055
1981,8,-0.24411
1981,9,-1.0401
1981,10,-1.1675
1981,11,-0.18767
1981,12,-1.2157
1982,1,-0.88341
1982,2,0.97391
1982,3,1.0741
1982,4,1.4538
1982,5,-0.2087
1982,6,-1.1801
1982,7,0.0047753
1982,8,0.36223
1982,9,0.55772
1982,10,-0.21098
1982,11,0.66093
1982,12,0.96718
1983,1,1.3591
1983,2,-1.8059
1983,3,-0.56707
1983,4,-0.73776
1983,5,-0.44093
1983,6,0.31253
1983,7,0.13055
1983,8,1.0978
1983,9,0.16689
1983,10,1.3689
1983,11,-0.68793
1983,12,0.18625
1984,1,0.90504
1984,2,-0.30272
1984,3,-2.386
1984,4,-0.28359
1984,5,0.47918
1984,6,0.0072895
1984,7,0.018871
1984,8,0.46569
1984,9,-0.41276
1984,10,-0.27026
1984,11,-0.96587
1984,12,0.446
1985,1,-2.8057
1985,2,-1.4398
1985,3,0.55144
1985,4,0.65242
1985,5,-0.43221
1985,6,-0.34656
1985,7,-0.38958
1985,8,-0.0014289
1985,9,0.11441
1985,10,1.0351
1985,11,-1.2175
1985,12,-1.9476
1986,1,-0.56764
1986,2,-2.9041
1986,3,1.9308
1986,4,0.10299
1986,5,0.36687
1986,6,0.53457
1986,7,-0.0082585
1986,8,-0.82629
1986,9,-0.023385
1986,10,1.4246
1986,11,0.92572
1986,12,0.059768
1987,1,-1.1476
1987,2,-1.4732
1987,3,-1.7465
1987,4,0.38697
1987,5,0.32524
1987,6,-0.71027
1987,7,-0.46627
1987,8,-0.8357
1987,9,0.28653
1987,10,-0.080009
1987,11,-0.53584
1987,12,-0.53391
1988,1,0.26466
1988,2,-1.0662
1988,3,-0.19707
1988,4,-0.56071
1988,5,-0.84614
