LAT,LONG,KPN
82.866667,-80.300000,62
82.866667,-80.016667,62
82.866667,-79.733333,62
82.866667,-79.450000,62
82.866667,-79.166667,62
82.866667,-78.883333,62
82.866667,-78.600000,62
82.866667,-78.033333,62
82.866667,-77.750000,62
82.866667,-77.466667,62
82.866667,-76.616667,62
82.866667,-76.333333,62
82.866667,-76.050000,62
82.866667,-75.766667,62
82.866667,-75.483333,62
82.866667,-75.200000,62
82.866667,-74.916667,62
82.866667,-74.633333,62
82.866667,-74.350000,62
82.866667,-74.066667,62
82.866667,-73.216667,62
82.866667,-72.933333,62
82.866667,-72.650000,62
82.866667,-72.366667,62
82.866667,-72.083333,62
82.866667,-71.800000,62
82.866667,-71.516667,62
82.866667,-71.233333,62
82.866667,-70.950000,62
82.866667,-70.666667,62
82.866667,-70.383333,62
82.866667,-70.100000,62
82.866667,-69.816667,62
82.866667,-69.533333,62
82.866667,-69.250000,62
82.866667,-68.966667,62
82.866667,-68.683333,62
82.866667,-68.400000,62
82.866667,-68.116667,62
82.866667,-67.833333,62
82.866667,-67.550000,62
82.866667,-67.266667,62
82.866667,-66.983333,62
82.866667,-66.700000,62
82.866667,-65.283333,62
82.866667,-65.000000,62
82.866667,-64.716667,62
82.583333,-82.283333,62
82.583333,-82.000000,62
82.583333,-81.716667,62
82.583333,-81.433333,62
82.583333,-80.583333,62
82.583333,-80.300000,62
82.583333,-80.016667,62
82.583333,-79.733333,62
82.583333,-79.450000,62
82.583333,-79.166667,62
82.583333,-78.883333,62
82.583333,-78.600000,62
82.583333,-78.316667,62
82.583333,-78.033333,62
82.583333,-77.750000,62
82.583333,-77.466667,62
82.583333,-77.183333,62
82.583333,-76.900000,62
82.583333,-76.616667,62
82.583333,-76.333333,62
82.583333,-76.050000,62
82.583333,-75.483333,62
82.583333,-75.200000,62
82.583333,-74.916667,62
82.583333,-74.633333,62
82.583333,-74.350000,62
82.583333,-74.066667,62
82.583333,-73.783333,62
82.583333,-73.500000,62
82.583333,-73.216667,62
82.583333,-72.933333,62
82.583333,-72.650000,62
82.583333,-72.366667,62
82.583333,-72.083333,62
82.583333,-71.800000,62
82.583333,-71.516667,62
82.583333,-71.233333,62
82.583333,-70.950000,62
82.583333,-70.666667,62
82.583333,-70.383333,62
82.583333,-70.100000,62
82.583333,-69.816667,62
82.583333,-69.533333,62
82.583333,-69.250000,62
82.583333,-68.966667,62
82.583333,-68.683333,62
82.583333,-68.400000,62
82.583333,-68.116667,62
82.583333,-67.833333,62
82.583333,-67.550000,62
82.583333,-67.266667,62
82.583333,-66.983333,62
82.583333,-66.700000,62
82.583333,-66.416667,62
82.583333,-66.133333,62
82.583333,-65.850000,62
82.583333,-65.566667,62
82.583333,-65.283333,62
82.583333,-65.000000,62
82.583333,-64.716667,62
82.583333,-64.433333,62
82.583333,-64.150000,62
82.583333,-63.866667,62
82.583333,-63.583333,62
82.583333,-63.300000,62
82.300000,-85.400000,62
82.300000,-85.116667,62
82.300000,-84.833333,62
82.300000,-84.550000,62
82.300000,-84.266667,62
82.300000,-83.983333,62
82.300000,-83.700000,62
82.300000,-82.000000,62
82.300000,-81.716667,62
82.300000,-81.433333,62
82.300000,-81.150000,62
82.300000,-80.866667,62
82.300000,-80.583333,62
82.300000,-80.300000,62
82.300000,-80.016667,62
82.300000,-79.733333,62
82.300000,-79.450000,62
82.300000,-79.166667,62
82.300000,-78.883333,62
82.300000,-78.600000,62
82.300000,-78.316667,62
82.300000,-78.033333,62
82.300000,-77.750000,62
82.300000,-77.466667,62
82.300000,-77.183333,62
82.300000,-76.900000,62
82.300000,-76.616667,62
82.300000,-76.333333,62
82.300000,-76.050000,62
82.300000,-75.766667,62
82.300000,-75.483333,62
82.300000,-75.200000,62
82.300000,-74.916667,62
82.300000,-74.633333,62
82.300000,-74.350000,62
82.300000,-74.066667,62
82.300000,-73.783333,62
82.300000,-73.500000,62
82.300000,-73.216667,62
82.300000,-72.933333,62
82.300000,-72.650000,62
82.300000,-72.366667,62
82.300000,-72.083333,62
82.300000,-71.800000,62
82.300000,-71.516667,62
82.300000,-71.233333,62
82.300000,-70.950000,62
82.300000,-70.666667,62
82.300000,-70.383333,62
82.300000,-70.100000,62
82.300000,-69.816667,62
82.300000,-69.533333,62
82.300000,-69.250000,62
82.300000,-68.966667,62
82.300000,-68.683333,62
82.300000,-68.400000,62
82.300000,-68.116667,62
82.300000,-67.833333,62
82.300000,-67.550000,62
82.300000,-67.266667,62
82.300000,-66.983333,62
82.300000,-66.700000,62
82.300000,-66.416667,62
82.300000,-66.133333,62
82.300000,-65.850000,62
82.300000,-65.566667,62
82.300000,-65.283333,62
82.300000,-65.000000,62
82.300000,-64.716667,62
82.300000,-64.433333,62
82.300000,-64.150000,62
82.300000,-63.866667,62
82.300000,-63.583333,62
82.300000,-63.300000,62
82.300000,-63.016667,62
82.300000,-62.733333,62
82.300000,-62.450000,62
82.300000,-62.166667,62
82.300000,-61.883333,62
82.300000,-61.600000,62
82.300000,-61.316667,62
82.016667,-88.800000,62
82.016667,-88.516667,62
82.016667,-88.233333,62
82.016667,-87.950000,62
82.016667,-87.666667,62
82.016667,-87.383333,62
82.016667,-86.816667,62
82.016667,-86.533333,62
82.016667,-86.250000,62
82.016667,-84.833333,62
82.016667,-84.550000,62
82.016667,-84.266667,62
82.016667,-83.983333,62
82.016667,-83.700000,62
82.016667,-83.416667,62
82.016667,-83.133333,62
82.016667,-82.850000,62
82.016667,-82.566667,62
82.016667,-82.283333,62
82.016667,-82.000000,62
82.016667,-81.716667,62
82.016667,-81.433333,62
82.016667,-81.150000,62
82.016667,-80.866667,62
82.016667,-79.733333,62
82.016667,-79.450000,62
82.016667,-79.166667,62
82.016667,-78.883333,62
82.016667,-78.600000,62
82.016667,-78.316667,62
82.016667,-78.033333,62
82.016667,-77.750000,62
82.016667,-77.466667,62
82.016667,-77.183333,62
82.016667,-76.900000,62
82.016667,-76.616667,62
82.016667,-76.333333,62
82.016667,-76.050000,62
82.016667,-75.766667,62
82.016667,-75.483333,62
82.016667,-75.200000,62
82.016667,-74.916667,62
82.016667,-74.633333,62
82.016667,-74.350000,62
82.016667,-74.066667,62
82.016667,-73.783333,62
82.016667,-73.500000,62
82.016667,-73.216667,62
82.016667,-72.933333,62
82.016667,-72.650000,62
82.016667,-72.366667,62
82.016667,-72.083333,62
82.016667,-71.800000,62
82.016667,-71.516667,62
82.016667,-71.233333,62
82.016667,-70.950000,62
82.016667,-70.666667,62
82.016667,-70.383333,62
82.016667,-70.100000,62
82.016667,-69.816667,62
82.016667,-69.533333,62
82.016667,-69.250000,62
82.016667,-68.966667,62
82.016667,-68.683333,62
82.016667,-68.400000,62
82.016667,-68.116667,62
82.016667,-67.833333,62
82.016667,-67.550000,62
82.016667,-67.266667,62
82.016667,-66.983333,62
82.016667,-66.700000,62
82.016667,-66.416667,62
82.016667,-66.133333,62
82.016667,-65.850000,62
82.016667,-65.566667,62
82.016667,-65.283333,62
82.016667,-65.000000,62
82.016667,-64.716667,62
82.016667,-64.433333,62
82.016667,-64.150000,62
82.016667,-63.866667,62
82.016667,-63.583333,62
82.016667,-63.300000,62
82.016667,-63.016667,62
82.016667,-62.733333,62
82.016667,-62.450000,62
81.733333,-91.633333,62
81.733333,-91.350000,62
81.733333,-91.066667,62
81.733333,-90.783333,62
81.733333,-90.500000,62
81.733333,-90.216667,62
81.733333,-89.933333,62
81.733333,-89.650000,62
81.733333,-89.366667,62
81.733333,-89.083333,62
81.733333,-88.800000,62
81.733333,-88.516667,62
81.733333,-88.233333,62
81.733333,-87.950000,62
81.733333,-87.666667,62
81.733333,-87.383333,62
81.733333,-87.100000,62
81.733333,-86.816667,62
81.733333,-86.533333,62
81.733333,-86.250000,62
81.733333,-85.966667,62
81.733333,-85.683333,62
81.733333,-85.400000,62
81.733333,-85.116667,62
81.733333,-84.833333,62
81.733333,-84.550000,62
81.733333,-84.266667,62
81.733333,-83.983333,62
81.733333,-83.700000,62
81.733333,-83.416667,62
81.733333,-83.133333,62
81.733333,-82.850000,62
81.733333,-82.566667,62
81.733333,-82.283333,62
81.733333,-82.000000,62
81.733333,-81.716667,62
81.733333,-81.433333,62
81.733333,-81.150000,62
81.733333,-80.866667,62
81.733333,-80.583333,62
81.733333,-80.300000,62
81.733333,-80.016667,62
81.733333,-79.733333,62
81.733333,-79.450000,62
81.733333,-79.166667,62
81.733333,-78.883333,62
81.733333,-78.600000,62
81.733333,-78.316667,62
81.733333,-78.033333,62
81.733333,-77.750000,62
